Nome, Numero_Casamentos, Algoritmo_1_Linear_Sem_Cores, Algoritmo_1_Linear_Com_Cores, Algoritmo_1_Paralelo, Algoritmo_2_Linear, Algoritmo_2_Paralelo, Algoritmo_3, Melhor
xv.txt, 1, 0, 0, 0, 0.137s, 0.131s, 0.164s, A1L_Sem_Cores
xv.txt, 2, 0, 0, 0, 2.543s, 0.657s, 4.933s, A1L_Sem_Cores
zo.txt, 1, 0, 0, 0, 0.493s, 0.59s, 0.581s, A1L_Sem_Cores
zo.txt, 2, 0, 0, 0, 1.98s, 0.932s, 4.429s, A1L_Sem_Cores



ap.txt, 1, 0, 0, 0, 0.82s, 0.826s, 0.868s, A1L_Sem_Cores
ap.txt, 2, 0, 0, 0, 3.407s, 1.458s, 8.577s, A1L_Sem_Cores
Arara4MaqPar.txt, 1, 0, 0, 0, 0.221s, 0.236s, 0.275s, A1L_Sem_Cores
Arara4MaqPar.txt, 2, 0, 0, 0, 7.091s, 2.27s, 6.012s, A1L_Sem_Cores
chacobo_fem.txt, 1, 0, 0, 0, 7.757s, 9.007s, 9.551s, A1L_Sem_Cores
chacobo_mas.txt, 1, 0, 0, 0, 7.703s, 8.717s, 9.069s, A1L_Sem_Cores
deni.txt, 1, 0, 0, 0, 0.96s, 0.878s, 1.077s, A1L_Sem_Cores
deni.txt, 2, 0, 0, 0, 27.089s, 7.828s, 26.969s, A1L_Sem_Cores
EN4MaqPar.txt, 1, 0, 0, 0, 0.523s, 0.551s, 0.637s, A1L_Sem_Cores
EN4MaqPar.txt, 2, 0, 0, 0, 1.56s, 0.845s, 3.434s, A1L_Sem_Cores
im.txt, 1, 0, 0, 0, 0.403s, 0.404s, 0.47s, A1L_Sem_Cores
im.txt, 2, 0, 0, 0, 1.681s, 0.737s, 3.619s, A1L_Sem_Cores
kraho.txt, 1, 0, 0, 0, 2.407s, 2.396s, 2.842s, A1L_Sem_Cores
kraho.txt, 2, 0, 0, 0, 36.867s, 11.599s, 34.733s, A1L_Sem_Cores
