Anel, Ego, SxEgo, Alter, SxAlter, Percurso, BarryPercurso, Parente, Casal, Geração, Lateral, Cnx
338, 1093, m, 1267, f, 1093 1070 1016 1004 1014 1041 1067 1267 , m1093 f1070 m1016 (f1004) f1014 f1041 f1067 f1267 , MFMDDDD, 1093 1267, G-1, 3, 7
339, 1093, m, 1267, f, 1093 1070 1016 1004 1015 1045 1076 1267 , m1093 f1070 m1016 (f1004) f1015 f1045 m1076 f1267 , MFMDDSD, 1093 1267, G-1, 3, 7
340, 1093, m, 1267, f, 1093 1070 1016 1004 1013 1042 1067 1267 , m1093 f1070 m1016 (f1004) m1013 m1042 f1067 f1267 , MFMSSDD, 1093 1267, G-1, 3, 7
341, 1093, m, 1267, f, 1093 1070 1044 1005 1041 1067 1267 , m1093 f1070 f1044 (m1005) f1041 f1067 f1267 , MMFDDD, 1093 1267, G0, 3, 6
342, 1093, m, 1267, f, 1093 1070 1044 1005 1045 1076 1267 , m1093 f1070 f1044 (m1005) f1045 m1076 f1267 , MMFDSD, 1093 1267, G0, 3, 6
343, 1093, m, 1267, f, 1093 1070 1044 1015 1045 1076 1267 , m1093 f1070 f1044 (f1015) f1045 m1076 f1267 , MMMDSD, 1093 1267, G0, 3, 6
344, 1093, m, 1267, f, 1093 1019 1006 1105 1005 1041 1067 1267 , m1093 m1019 f1006 (m1105) m1005 f1041 f1067 f1267 , FMFSDDD, 1093 1267, G-1, 3, 7
345, 1093, m, 1267, f, 1093 1019 1006 1105 1005 1045 1076 1267 , m1093 m1019 f1006 (m1105) m1005 f1045 m1076 f1267 , FMFSDSD, 1093 1267, G-1, 3, 7
346, 1093, m, 1267, f, 1093 1070 1016 1007 1105 1005 1041 1067 1267 , m1093 f1070 m1016 m1007 (m1105) m1005 f1041 f1067 f1267 , MFFFSDDD, 1093 1267, G0, 4, 8
347, 1093, m, 1267, f, 1093 1070 1016 1007 1105 1005 1045 1076 1267 , m1093 f1070 m1016 m1007 (m1105) m1005 f1045 m1076 f1267 , MFFFSDSD, 1093 1267, G0, 4, 8
348, 1093, m, 1267, f, 1093 1019 1007 1105 1005 1041 1067 1267 , m1093 m1019 m1007 (m1105) m1005 f1041 f1067 f1267 , FFFSDDD, 1093 1267, G-1, 3, 7
349, 1093, m, 1267, f, 1093 1019 1007 1105 1005 1045 1076 1267 , m1093 m1019 m1007 (m1105) m1005 f1045 m1076 f1267 , FFFSDSD, 1093 1267, G-1, 3, 7
350, 1097, m, 1226, f, 1097 1043 1015 1003 1014 1038 1226 , m1097 m1043 f1015 (m1003) f1014 m1038 f1226 , FMFDSD, 1097 1226, G0, 3, 6
351, 1097, m, 1226, f, 1097 1043 1015 1004 1014 1038 1226 , m1097 m1043 f1015 (f1004) f1014 m1038 f1226 , FMMDSD, 1097 1226, G0, 3, 6
352, 1097, m, 1226, f, 1097 1043 1015 1004 1017 1026 1226 , m1097 m1043 f1015 (f1004) m1017 f1026 f1226 , FMMSDD, 1097 1226, G0, 3, 6
353, 1097, m, 1226, f, 1097 1079 1016 1004 1014 1038 1226 , m1097 f1079 m1016 (f1004) f1014 m1038 f1226 , MFMDSD, 1097 1226, G0, 3, 6
354, 1097, m, 1226, f, 1097 1079 1016 1004 1017 1026 1226 , m1097 f1079 m1016 (f1004) m1017 f1026 f1226 , MFMSDD, 1097 1226, G0, 3, 6
355, 1097, m, 1226, f, 1097 1043 1005 1038 1226 , m1097 m1043 (m1005) m1038 f1226 , FFSD, 1097 1226, G0, 2, 4
356, 1097, m, 1226, f, 1097 1079 1016 1007 1022 1026 1226 , m1097 f1079 m1016 (m1007) f1022 f1026 f1226 , MFFDDD, 1097 1226, G0, 3, 6
357, 1097, m, 1226, f, 1097 1079 1016 1007 1017 1026 1226 , m1097 f1079 m1016 (m1007) m1017 f1026 f1226 , MFFSDD, 1097 1226, G0, 3, 6
358, 1097, m, 1226, f, 1097 1079 1009 1022 1026 1226 , m1097 f1079 (f1009) f1022 f1026 f1226 , MMDDD, 1097 1226, G-1, 2, 5
359, 1097, m, 1226, f, 1097 1043 1005 1105 1007 1022 1026 1226 , m1097 m1043 m1005 (m1105) m1007 f1022 f1026 f1226 , FFFSDDD, 1097 1226, G-1, 3, 7
360, 1097, m, 1226, f, 1097 1043 1005 1105 1007 1017 1026 1226 , m1097 m1043 m1005 (m1105) m1007 m1017 f1026 f1226 , FFFSSDD, 1097 1226, G-1, 3, 7
361, 1097, m, 1226, f, 1097 1079 1016 1007 1105 1005 1038 1226 , m1097 f1079 m1016 m1007 (m1105) m1005 m1038 f1226 , MFFFSSD, 1097 1226, G1, 3, 7
362, 1104, m, 1228, f, 1104 1063 1013 1004 1017 1028 1228 , m1104 m1063 m1013 (f1004) m1017 f1028 f1228 , FFMSDD, 1104 1228, G0, 3, 6
363, 1104, m, 1228, f, 1104 1063 1013 1004 1018 1062 1228 , m1104 m1063 m1013 (f1004) f1018 m1062 f1228 , FFMDSD, 1104 1228, G0, 3, 6
364, 1104, m, 1228, f, 1104 1079 1016 1004 1013 1062 1228 , m1104 f1079 m1016 (f1004) m1013 m1062 f1228 , MFMSSD, 1104 1228, G0, 3, 6
365, 1104, m, 1228, f, 1104 1079 1016 1004 1017 1028 1228 , m1104 f1079 m1016 (f1004) m1017 f1028 f1228 , MFMSDD, 1104 1228, G0, 3, 6
366, 1104, m, 1228, f, 1104 1079 1016 1004 1018 1062 1228 , m1104 f1079 m1016 (f1004) f1018 m1062 f1228 , MFMDSD, 1104 1228, G0, 3, 6
367, 1104, m, 1228, f, 1104 1063 1018 1004 1013 1062 1228 , m1104 m1063 f1018 (f1004) m1013 m1062 f1228 , FMMSSD, 1104 1228, G0, 3, 6
368, 1104, m, 1228, f, 1104 1063 1018 1004 1017 1028 1228 , m1104 m1063 f1018 (f1004) m1017 f1028 f1228 , FMMSDD, 1104 1228, G0, 3, 6
369, 1104, m, 1228, f, 1104 1079 1016 1007 1022 1028 1228 , m1104 f1079 m1016 (m1007) f1022 f1028 f1228 , MFFDDD, 1104 1228, G0, 3, 6
370, 1104, m, 1228, f, 1104 1079 1016 1007 1017 1028 1228 , m1104 f1079 m1016 (m1007) m1017 f1028 f1228 , MFFSDD, 1104 1228, G0, 3, 6
371, 1104, m, 1228, f, 1104 1079 1016 1007 1018 1062 1228 , m1104 f1079 m1016 (m1007) f1018 m1062 f1228 , MFFDSD, 1104 1228, G0, 3, 6
372, 1104, m, 1228, f, 1104 1063 1018 1007 1022 1028 1228 , m1104 m1063 f1018 (m1007) f1022 f1028 f1228 , FMFDDD, 1104 1228, G0, 3, 6
373, 1104, m, 1228, f, 1104 1063 1018 1007 1017 1028 1228 , m1104 m1063 f1018 (m1007) m1017 f1028 f1228 , FMFSDD, 1104 1228, G0, 3, 6
374, 1104, m, 1228, f, 1104 1079 1009 1022 1028 1228 , m1104 f1079 (f1009) f1022 f1028 f1228 , MMDDD, 1104 1228, G-1, 2, 5
375, 1104, m, 1228, f, 1104 1063 1013 1062 1228 , m1104 m1063 (m1013) m1062 f1228 , FFSD, 1104 1228, G0, 2, 4
376, 1104, m, 1228, f, 1104 1063 1018 1062 1228 , m1104 m1063 (f1018) m1062 f1228 , FMSD, 1104 1228, G0, 2, 4
377, 1106, m, 1111, f, 1106 1111 , (m1106) f1111 , D, 1106 1111, G-1, 0, 1
378, 1110, m, 1107, f, 1110 1107 , m1110 (f1107) , M, 1107 1110, G1, 0, 1
379, 1108, m, 1111, f, 1108 1106 1111 , m1108 (m1106) f1111 , FD, 1108 1111, G0, 1, 2
380, 1108, m, 1111, f, 1108 1107 1111 , m1108 (f1107) f1111 , MD, 1108 1111, G0, 1, 2
381, 1108, m, 1114, f, 1108 1106 1111 1114 , m1108 (m1106) f1111 f1114 , FDD, 1108 1114, G-1, 1, 3
382, 1108, m, 1114, f, 1108 1106 1114 , m1108 (m1106) f1114 , FD, 1108 1114, G0, 1, 2
383, 1108, m, 1114, f, 1108 1107 1111 1114 , m1108 (f1107) f1111 f1114 , MDD, 1108 1114, G-1, 1, 3
384, 1109, m, 1113, f, 1109 1106 1110 1113 , m1109 (m1106) m1110 f1113 , FSD, 1109 1113, G-1, 1, 3
385, 1109, m, 1113, f, 1109 1107 1110 1113 , m1109 (f1107) m1110 f1113 , MSD, 1109 1113, G-1, 1, 3
386, 1109, m, 1113, f, 1109 1107 1113 , m1109 (f1107) f1113 , MD, 1109 1113, G0, 1, 2
387, 1110, m, 1111, f, 1110 1106 1111 , m1110 (m1106) f1111 , FD, 1110 1111, G0, 1, 2
388, 1110, m, 1111, f, 1110 1107 1111 , m1110 (f1107) f1111 , MD, 1110 1111, G0, 1, 2
389, 1110, m, 1117, f, 1110 1107 1117 , m1110 (f1107) f1117 , MD, 1110 1117, G0, 1, 2
390, 1110, m, 1117, f, 1110 1117 , (m1110) f1117 , D, 1110 1117, G-1, 0, 1
391, 1110, m, 1119, f, 1110 1106 1112 1119 , m1110 (m1106) m1112 f1119 , FSD, 1110 1119, G-1, 1, 3
392, 1110, m, 1119, f, 1110 1107 1112 1119 , m1110 (f1107) m1112 f1119 , MSD, 1110 1119, G-1, 1, 3
393, 1110, m, 1119, f, 1110 1107 1113 1119 , m1110 (f1107) f1113 f1119 , MDD, 1110 1119, G-1, 1, 3
394, 1110, m, 1119, f, 1110 1113 1119 , (m1110) f1113 f1119 , DD, 1110 1119, G-2, 0, 2
395, 1112, m, 1113, f, 1112 1106 1110 1113 , m1112 (m1106) m1110 f1113 , FSD, 1112 1113, G-1, 1, 3
396, 1112, m, 1113, f, 1112 1107 1110 1113 , m1112 (f1107) m1110 f1113 , MSD, 1112 1113, G-1, 1, 3
397, 1112, m, 1113, f, 1112 1107 1113 , m1112 (f1107) f1113 , MD, 1112 1113, G0, 1, 2
398, 1112, m, 1116, f, 1112 1106 1110 1116 , m1112 (m1106) m1110 f1116 , FSD, 1112 1116, G-1, 1, 3
399, 1112, m, 1116, f, 1112 1107 1110 1116 , m1112 (f1107) m1110 f1116 , MSD, 1112 1116, G-1, 1, 3
400, 1112, m, 1116, f, 1112 1107 1116 , m1112 (f1107) f1116 , MD, 1112 1116, G0, 1, 2
401, 1120, m, 1119, f, 1120 1108 1106 1110 1113 1119 , m1120 m1108 (m1106) m1110 f1113 f1119 , FFSDD, 1119 1120, G-1, 2, 5
402, 1120, m, 1119, f, 1120 1111 1106 1110 1113 1119 , m1120 f1111 (m1106) m1110 f1113 f1119 , MFSDD, 1119 1120, G-1, 2, 5
403, 1120, m, 1119, f, 1120 1108 1106 1112 1119 , m1120 m1108 (m1106) m1112 f1119 , FFSD, 1119 1120, G0, 2, 4
404, 1120, m, 1119, f, 1120 1111 1106 1112 1119 , m1120 f1111 (m1106) m1112 f1119 , MFSD, 1119 1120, G0, 2, 4
405, 1120, m, 1119, f, 1120 1108 1107 1110 1113 1119 , m1120 m1108 (f1107) m1110 f1113 f1119 , FMSDD, 1119 1120, G-1, 2, 5
406, 1120, m, 1119, f, 1120 1111 1107 1110 1113 1119 , m1120 f1111 (f1107) m1110 f1113 f1119 , MMSDD, 1119 1120, G-1, 2, 5
407, 1120, m, 1119, f, 1120 1108 1107 1112 1119 , m1120 m1108 (f1107) m1112 f1119 , FMSD, 1119 1120, G0, 2, 4
408, 1120, m, 1119, f, 1120 1111 1107 1112 1119 , m1120 f1111 (f1107) m1112 f1119 , MMSD, 1119 1120, G0, 2, 4
409, 1120, m, 1119, f, 1120 1108 1107 1113 1119 , m1120 m1108 (f1107) f1113 f1119 , FMDD, 1119 1120, G0, 2, 4
410, 1120, m, 1119, f, 1120 1111 1107 1113 1119 , m1120 f1111 (f1107) f1113 f1119 , MMDD, 1119 1120, G0, 2, 4
411, 1121, m, 1127, f, 1121 1109 1106 1110 1116 1127 , m1121 m1109 (m1106) m1110 f1116 f1127 , FFSDD, 1121 1127, G-1, 2, 5
412, 1121, m, 1127, f, 1121 1109 1107 1110 1116 1127 , m1121 m1109 (f1107) m1110 f1116 f1127 , FMSDD, 1121 1127, G-1, 2, 5
413, 1121, m, 1127, f, 1121 1109 1107 1116 1127 , m1121 m1109 (f1107) f1116 f1127 , FMDD, 1121 1127, G0, 2, 4
414, 1121, m, 1127, f, 1121 1113 1110 1107 1116 1127 , m1121 f1113 m1110 (f1107) f1116 f1127 , MFMDD, 1121 1127, G1, 2, 5
415, 1121, m, 1127, f, 1121 1113 1107 1110 1116 1127 , m1121 f1113 (f1107) m1110 f1116 f1127 , MMSDD, 1121 1127, G-1, 2, 5
416, 1121, m, 1127, f, 1121 1113 1107 1116 1127 , m1121 f1113 (f1107) f1116 f1127 , MMDD, 1121 1127, G0, 2, 4
417, 1121, m, 1127, f, 1121 1113 1110 1116 1127 , m1121 f1113 (m1110) f1116 f1127 , MFDD, 1121 1127, G0, 2, 4
418, 1124, m, 1133, f, 1124 1108 1106 1110 1117 1133 , m1124 m1108 (m1106) m1110 f1117 f1133 , FFSDD, 1124 1133, G-1, 2, 5
419, 1124, m, 1133, f, 1124 1114 1111 1106 1110 1117 1133 , m1124 f1114 f1111 (m1106) m1110 f1117 f1133 , MMFSDD, 1124 1133, G0, 3, 6
420, 1124, m, 1133, f, 1124 1114 1106 1110 1117 1133 , m1124 f1114 (m1106) m1110 f1117 f1133 , MFSDD, 1124 1133, G-1, 2, 5
421, 1124, m, 1133, f, 1124 1108 1107 1110 1117 1133 , m1124 m1108 (f1107) m1110 f1117 f1133 , FMSDD, 1124 1133, G-1, 2, 5
422, 1124, m, 1133, f, 1124 1108 1107 1117 1133 , m1124 m1108 (f1107) f1117 f1133 , FMDD, 1124 1133, G0, 2, 4
423, 1124, m, 1133, f, 1124 1114 1111 1107 1110 1117 1133 , m1124 f1114 f1111 (f1107) m1110 f1117 f1133 , MMMSDD, 1124 1133, G0, 3, 6
424, 1124, m, 1133, f, 1124 1114 1111 1107 1117 1133 , m1124 f1114 f1111 (f1107) f1117 f1133 , MMMDD, 1124 1133, G1, 2, 5
425, 1125, m, 1128, f, 1125 1111 1106 1110 1117 1128 , m1125 f1111 (m1106) m1110 f1117 f1128 , MFSDD, 1125 1128, G-1, 2, 5
426, 1125, m, 1128, f, 1125 1106 1110 1117 1128 , m1125 (m1106) m1110 f1117 f1128 , FSDD, 1125 1128, G-2, 1, 4
427, 1125, m, 1128, f, 1125 1111 1107 1110 1117 1128 , m1125 f1111 (f1107) m1110 f1117 f1128 , MMSDD, 1125 1128, G-1, 2, 5
428, 1125, m, 1128, f, 1125 1111 1107 1117 1128 , m1125 f1111 (f1107) f1117 f1128 , MMDD, 1125 1128, G0, 2, 4
429, 1129, m, 1140, f, 1129 1112 1106 1110 1117 1140 , m1129 m1112 (m1106) m1110 f1117 f1140 , FFSDD, 1129 1140, G-1, 2, 5
430, 1129, m, 1140, f, 1129 1116 1110 1107 1117 1140 , m1129 f1116 m1110 (f1107) f1117 f1140 , MFMDD, 1129 1140, G1, 2, 5
431, 1129, m, 1140, f, 1129 1112 1107 1110 1117 1140 , m1129 m1112 (f1107) m1110 f1117 f1140 , FMSDD, 1129 1140, G-1, 2, 5
432, 1129, m, 1140, f, 1129 1112 1107 1117 1140 , m1129 m1112 (f1107) f1117 f1140 , FMDD, 1129 1140, G0, 2, 4
433, 1129, m, 1140, f, 1129 1116 1107 1110 1117 1140 , m1129 f1116 (f1107) m1110 f1117 f1140 , MMSDD, 1129 1140, G-1, 2, 5
434, 1129, m, 1140, f, 1129 1116 1107 1117 1140 , m1129 f1116 (f1107) f1117 f1140 , MMDD, 1129 1140, G0, 2, 4
435, 1129, m, 1140, f, 1129 1116 1110 1117 1140 , m1129 f1116 (m1110) f1117 f1140 , MFDD, 1129 1140, G0, 2, 4
436, 1131, m, 1133, f, 1131 1111 1106 1110 1117 1133 , m1131 f1111 (m1106) m1110 f1117 f1133 , MFSDD, 1131 1133, G-1, 2, 5
437, 1131, m, 1133, f, 1131 1110 1107 1117 1133 , m1131 m1110 (f1107) f1117 f1133 , FMDD, 1131 1133, G0, 2, 4
438, 1131, m, 1133, f, 1131 1111 1107 1110 1117 1133 , m1131 f1111 (f1107) m1110 f1117 f1133 , MMSDD, 1131 1133, G-1, 2, 5
439, 1131, m, 1133, f, 1131 1111 1107 1117 1133 , m1131 f1111 (f1107) f1117 f1133 , MMDD, 1131 1133, G0, 2, 4
440, 1131, m, 1133, f, 1131 1110 1117 1133 , m1131 (m1110) f1117 f1133 , FDD, 1131 1133, G-1, 1, 3
441, 1134, m, 1135, f, 1134 1116 1110 1106 1108 1135 , m1134 f1116 m1110 (m1106) m1108 f1135 , MFFSD, 1134 1135, G1, 2, 5
442, 1134, m, 1135, f, 1134 1116 1110 1106 1111 1114 1135 , m1134 f1116 m1110 (m1106) f1111 f1114 f1135 , MFFDDD, 1134 1135, G0, 3, 6
443, 1134, m, 1135, f, 1134 1116 1110 1106 1114 1135 , m1134 f1116 m1110 (m1106) f1114 f1135 , MFFDD, 1134 1135, G1, 2, 5
444, 1134, m, 1135, f, 1134 1112 1106 1108 1135 , m1134 m1112 (m1106) m1108 f1135 , FFSD, 1134 1135, G0, 2, 4
445, 1134, m, 1135, f, 1134 1112 1106 1111 1114 1135 , m1134 m1112 (m1106) f1111 f1114 f1135 , FFDDD, 1134 1135, G-1, 2, 5
446, 1134, m, 1135, f, 1134 1112 1106 1114 1135 , m1134 m1112 (m1106) f1114 f1135 , FFDD, 1134 1135, G0, 2, 4
447, 1134, m, 1135, f, 1134 1116 1110 1107 1108 1135 , m1134 f1116 m1110 (f1107) m1108 f1135 , MFMSD, 1134 1135, G1, 2, 5
448, 1134, m, 1135, f, 1134 1116 1110 1107 1111 1114 1135 , m1134 f1116 m1110 (f1107) f1111 f1114 f1135 , MFMDDD, 1134 1135, G0, 3, 6
449, 1134, m, 1135, f, 1134 1112 1107 1108 1135 , m1134 m1112 (f1107) m1108 f1135 , FMSD, 1134 1135, G0, 2, 4
450, 1134, m, 1135, f, 1134 1112 1107 1111 1114 1135 , m1134 m1112 (f1107) f1111 f1114 f1135 , FMDDD, 1134 1135, G-1, 2, 5
451, 1134, m, 1135, f, 1134 1116 1107 1108 1135 , m1134 f1116 (f1107) m1108 f1135 , MMSD, 1134 1135, G0, 2, 4
452, 1134, m, 1135, f, 1134 1116 1107 1111 1114 1135 , m1134 f1116 (f1107) f1111 f1114 f1135 , MMDDD, 1134 1135, G-1, 2, 5
453, 1142, m, 1146, f, 1142 1119 1113 1110 1106 1109 1123 1146 , m1142 f1119 f1113 m1110 (m1106) m1109 m1123 f1146 , MMFFSSD, 1142 1146, G1, 3, 7
454, 1142, m, 1146, f, 1142 1110 1106 1109 1123 1146 , m1142 m1110 (m1106) m1109 m1123 f1146 , FFSSD, 1142 1146, G-1, 2, 5
455, 1142, m, 1146, f, 1142 1119 1112 1106 1109 1123 1146 , m1142 f1119 m1112 (m1106) m1109 m1123 f1146 , MFFSSD, 1142 1146, G0, 3, 6
456, 1142, m, 1146, f, 1142 1119 1112 1106 1110 1113 1123 1146 , m1142 f1119 m1112 (m1106) m1110 f1113 m1123 f1146 , MFFSDSD, 1142 1146, G-1, 3, 7
457, 1142, m, 1146, f, 1142 1119 1113 1110 1107 1109 1123 1146 , m1142 f1119 f1113 m1110 (f1107) m1109 m1123 f1146 , MMFMSSD, 1142 1146, G1, 3, 7
458, 1142, m, 1146, f, 1142 1110 1107 1109 1123 1146 , m1142 m1110 (f1107) m1109 m1123 f1146 , FMSSD, 1142 1146, G-1, 2, 5
459, 1142, m, 1146, f, 1142 1110 1107 1113 1123 1146 , m1142 m1110 (f1107) f1113 m1123 f1146 , FMDSD, 1142 1146, G-1, 2, 5
460, 1142, m, 1146, f, 1142 1119 1112 1107 1109 1123 1146 , m1142 f1119 m1112 (f1107) m1109 m1123 f1146 , MFMSSD, 1142 1146, G0, 3, 6
461, 1142, m, 1146, f, 1142 1119 1112 1107 1110 1113 1123 1146 , m1142 f1119 m1112 (f1107) m1110 f1113 m1123 f1146 , MFMSDSD, 1142 1146, G-1, 3, 7
462, 1142, m, 1146, f, 1142 1119 1112 1107 1113 1123 1146 , m1142 f1119 m1112 (f1107) f1113 m1123 f1146 , MFMDSD, 1142 1146, G0, 3, 6
463, 1142, m, 1146, f, 1142 1119 1113 1107 1109 1123 1146 , m1142 f1119 f1113 (f1107) m1109 m1123 f1146 , MMMSSD, 1142 1146, G0, 3, 6
464, 1142, m, 1146, f, 1142 1110 1113 1123 1146 , m1142 (m1110) f1113 m1123 f1146 , FDSD, 1142 1146, G-2, 1, 4
465, 1142, m, 1146, f, 1142 1119 1113 1123 1146 , m1142 f1119 (f1113) m1123 f1146 , MMSD, 1142 1146, G0, 2, 4
466, 1142, m, 1153, f, 1142 1119 1113 1110 1106 1108 1153 , m1142 f1119 f1113 m1110 (m1106) m1108 f1153 , MMFFSD, 1142 1153, G2, 2, 6
467, 1142, m, 1153, f, 1142 1119 1113 1110 1106 1111 1114 1153 , m1142 f1119 f1113 m1110 (m1106) f1111 f1114 f1153 , MMFFDDD, 1142 1153, G1, 3, 7
468, 1142, m, 1153, f, 1142 1119 1113 1110 1106 1114 1153 , m1142 f1119 f1113 m1110 (m1106) f1114 f1153 , MMFFDD, 1142 1153, G2, 2, 6
469, 1142, m, 1153, f, 1142 1110 1106 1108 1153 , m1142 m1110 (m1106) m1108 f1153 , FFSD, 1142 1153, G0, 2, 4
470, 1142, m, 1153, f, 1142 1110 1106 1111 1114 1153 , m1142 m1110 (m1106) f1111 f1114 f1153 , FFDDD, 1142 1153, G-1, 2, 5
471, 1142, m, 1153, f, 1142 1110 1106 1114 1153 , m1142 m1110 (m1106) f1114 f1153 , FFDD, 1142 1153, G0, 2, 4
472, 1142, m, 1153, f, 1142 1119 1112 1106 1108 1153 , m1142 f1119 m1112 (m1106) m1108 f1153 , MFFSD, 1142 1153, G1, 2, 5
473, 1142, m, 1153, f, 1142 1119 1112 1106 1111 1114 1153 , m1142 f1119 m1112 (m1106) f1111 f1114 f1153 , MFFDDD, 1142 1153, G0, 3, 6
474, 1142, m, 1153, f, 1142 1119 1112 1106 1114 1153 , m1142 f1119 m1112 (m1106) f1114 f1153 , MFFDD, 1142 1153, G1, 2, 5
475, 1142, m, 1153, f, 1142 1119 1113 1110 1107 1108 1153 , m1142 f1119 f1113 m1110 (f1107) m1108 f1153 , MMFMSD, 1142 1153, G2, 2, 6
476, 1142, m, 1153, f, 1142 1119 1113 1110 1107 1111 1114 1153 , m1142 f1119 f1113 m1110 (f1107) f1111 f1114 f1153 , MMFMDDD, 1142 1153, G1, 3, 7
477, 1142, m, 1153, f, 1142 1110 1107 1108 1153 , m1142 m1110 (f1107) m1108 f1153 , FMSD, 1142 1153, G0, 2, 4
478, 1142, m, 1153, f, 1142 1110 1107 1111 1114 1153 , m1142 m1110 (f1107) f1111 f1114 f1153 , FMDDD, 1142 1153, G-1, 2, 5
479, 1142, m, 1153, f, 1142 1119 1112 1107 1108 1153 , m1142 f1119 m1112 (f1107) m1108 f1153 , MFMSD, 1142 1153, G1, 2, 5
480, 1142, m, 1153, f, 1142 1119 1112 1107 1111 1114 1153 , m1142 f1119 m1112 (f1107) f1111 f1114 f1153 , MFMDDD, 1142 1153, G0, 3, 6
481, 1142, m, 1153, f, 1142 1119 1113 1107 1108 1153 , m1142 f1119 f1113 (f1107) m1108 f1153 , MMMSD, 1142 1153, G1, 2, 5
482, 1142, m, 1153, f, 1142 1119 1113 1107 1111 1114 1153 , m1142 f1119 f1113 (f1107) f1111 f1114 f1153 , MMMDDD, 1142 1153, G0, 3, 6
483, 1296, m, 1240, f, 1296 1039 1014 1003 1013 1240 , m1296 m1039 f1014 (m1003) m1013 f1240 , FMFSD, 1240 1296, G1, 2, 5
484, 1296, m, 1240, f, 1296 1096 1043 1015 1003 1013 1240 , m1296 f1096 m1043 f1015 (m1003) m1013 f1240 , MFMFSD, 1240 1296, G2, 2, 6
485, 1296, m, 1240, f, 1296 1096 1043 1015 1003 1014 1040 1240 , m1296 f1096 m1043 f1015 (m1003) f1014 f1040 f1240 , MFMFDDD, 1240 1296, G1, 3, 7
486, 1296, m, 1240, f, 1296 1039 1014 1004 1013 1240 , m1296 m1039 f1014 (f1004) m1013 f1240 , FMMSD, 1240 1296, G1, 2, 5
487, 1296, m, 1240, f, 1296 1096 1043 1015 1004 1013 1240 , m1296 f1096 m1043 f1015 (f1004) m1013 f1240 , MFMMSD, 1240 1296, G2, 2, 6
488, 1296, m, 1240, f, 1296 1096 1079 1016 1004 1013 1240 , m1296 f1096 f1079 m1016 (f1004) m1013 f1240 , MMFMSD, 1240 1296, G2, 2, 6
489, 1296, m, 1240, f, 1296 1096 1043 1015 1004 1014 1040 1240 , m1296 f1096 m1043 f1015 (f1004) f1014 f1040 f1240 , MFMMDDD, 1240 1296, G1, 3, 7
490, 1296, m, 1240, f, 1296 1096 1079 1016 1004 1014 1040 1240 , m1296 f1096 f1079 m1016 (f1004) f1014 f1040 f1240 , MMFMDDD, 1240 1296, G1, 3, 7
491, 1296, m, 1240, f, 1296 1039 1005 1040 1240 , m1296 m1039 (m1005) f1040 f1240 , FFDD, 1240 1296, G0, 2, 4
492, 1296, m, 1240, f, 1296 1096 1043 1005 1040 1240 , m1296 f1096 m1043 (m1005) f1040 f1240 , MFFDD, 1240 1296, G1, 2, 5
493, 1296, m, 1240, f, 1296 1039 1014 1040 1240 , m1296 m1039 (f1014) f1040 f1240 , FMDD, 1240 1296, G0, 2, 4
494, 1296, m, 1240, f, 1296 1096 1079 1016 1007 1105 1005 1040 1240 , m1296 f1096 f1079 m1016 m1007 (m1105) m1005 f1040 f1240 , MMFFFSDD, 1240 1296, G2, 3, 8
495, 1250, m, 1264, f, 1250 1050 1040 1014 1003 1013 1064 1264 , m1250 f1050 f1040 f1014 (m1003) m1013 m1064 f1264 , MMMFSSD, 1250 1264, G1, 3, 7
496, 1250, m, 1264, f, 1250 1050 1013 1004 1017 1029 1264 , m1250 f1050 m1013 (f1004) m1017 f1029 f1264 , MFMSDD, 1250 1264, G0, 3, 6
497, 1250, m, 1264, f, 1250 1050 1013 1004 1018 1064 1264 , m1250 f1050 m1013 (f1004) f1018 m1064 f1264 , MFMDSD, 1250 1264, G0, 3, 6
498, 1250, m, 1264, f, 1250 1050 1040 1014 1004 1013 1064 1264 , m1250 f1050 f1040 f1014 (f1004) m1013 m1064 f1264 , MMMMSSD, 1250 1264, G1, 3, 7
499, 1250, m, 1264, f, 1250 1050 1040 1014 1004 1017 1029 1264 , m1250 f1050 f1040 f1014 (f1004) m1017 f1029 f1264 , MMMMSDD, 1250 1264, G1, 3, 7
500, 1250, m, 1264, f, 1250 1050 1040 1014 1004 1018 1064 1264 , m1250 f1050 f1040 f1014 (f1004) f1018 m1064 f1264 , MMMMDSD, 1250 1264, G1, 3, 7
501, 1250, m, 1264, f, 1250 1023 1007 1022 1029 1264 , m1250 m1023 (m1007) f1022 f1029 f1264 , FFDDD, 1250 1264, G-1, 2, 5
502, 1250, m, 1264, f, 1250 1023 1007 1017 1029 1264 , m1250 m1023 (m1007) m1017 f1029 f1264 , FFSDD, 1250 1264, G-1, 2, 5
503, 1250, m, 1264, f, 1250 1023 1007 1018 1064 1264 , m1250 m1023 (m1007) f1018 m1064 f1264 , FFDSD, 1250 1264, G-1, 2, 5
504, 1250, m, 1264, f, 1250 1023 1009 1022 1029 1264 , m1250 m1023 (f1009) f1022 f1029 f1264 , FMDDD, 1250 1264, G-1, 2, 5
505, 1250, m, 1264, f, 1250 1050 1013 1064 1264 , m1250 f1050 (m1013) m1064 f1264 , MFSD, 1250 1264, G0, 2, 4
506, 1250, m, 1264, f, 1250 1050 1040 1005 1105 1007 1022 1029 1264 , m1250 f1050 f1040 m1005 (m1105) m1007 f1022 f1029 f1264 , MMFFSDDD, 1250 1264, G0, 4, 8
