Nome, Numero_Casamentos, Algoritmo_1_Linear_Sem_Cores, Algoritmo_1_Linear_Com_Cores, Algoritmo_1_Paralelo, Algoritmo_2_Linear, Algoritmo_2_Paralelo, Algoritmo_3, Melhor
EN4MaqPar.txt, 1, 0.394s, 0.336s, 0.408s, 0.85s, 0.865s, 0.819s, A1L_Com_Cores
EN4MaqPar.txt, 2, 2.401s, 1.096s, 0.511s, 1.684s, 1.068s, 2.28s, A1P
im.txt, 1, 0.298s, 0.243s, 0.292s, 0.569s, 0.487s, 0.551s, A1L_Com_Cores
im.txt, 2, 4.914s, 1.367s, 0.45s, 1.654s, 0.805s, 2.29s, A1P
kraho.txt, 1, 2.521s, 1.7s, 2.108s, 3.915s, 3.789s, 3.806s, A1L_Com_Cores
kraho.txt, 2, 208.617s, 33.994s, 7.254s, 31.984s, 8.529s, 23.135s, A1L_Sem_Cores
marcapata.txt, 1, 5.684s, 5.824s, 5.597s, 17.266s, 15.143s, 15.459s, A2P
marcapata.txt, 2, 48.865s, 46.29s, 11.651s, 71.29s, 28.997s, 140.796s, A1P
mbya.txt, 1, 1.326s, 1.275s, 1.384s, 3.732s, 3.336s, 3.467s, A1L_Com_Cores
mbya.txt, 2, 8.3s, 6.201s, 2.228s, 10.585s, 5.489s, 17.182s, A2L
xv.txt, 1, 0.084s, 0.075s, 0.09s, 0.164s, 0.14s, 0.141s, A1L_Com_Cores
xv.txt, 2, 3.266s, 2.042s, 0.397s, 2.136s, 0.631s, 2.548s, A1P
zo.txt, 1, 0.382s, 0.324s, 0.387s, 1.018s, 0.874s, 0.894s, A1L_Com_Cores
zo.txt, 2, 4.381s, 1.391s, 0.531s, 2.122s, 1.267s, 3.378s, A1P



ap.txt, 1, 0.871s, 0.844s, 0.796s, 3.15s, 2.334s, 2.724s, A1P
ap.txt, 2, 4.29s, 2.848s, 1.32s, 4.906s, 3.953s, 8.877s, A1P
Arara4MaqPar.txt, 1, 0.377s, 0.213s, 0.3s, 0.277s, 0.313s, 0.311s, A1L_Com_Cores
Arara4MaqPar.txt, 2, 23.894s, 6.785s, 2.009s, 6.43s, 1.913s, 5.677s, A2P
chacobo_fem.txt, 1, 9.779s, 8.539s, 9.162s, 10.26s, 12.398s, 11.186s, A2L
Erro, Erro, Erro, Erro, Erro, Erro, Erro, Erro, Erro
chacobo_mas.txt, 1, 9.527s, 7.736s, 8.484s, 10.015s, 10.331s, 10.556s, A2L
Erro, Erro, Erro, Erro, Erro, Erro, Erro, Erro, Erro
deni.txt, 1, 1.178s, 0.719s, 0.875s, 1.641s, 1.612s, 1.598s, A1L_Com_Cores
deni.txt, 2, 183.256s, 29.123s, 5.929s, 25.002s, 6.897s, 22.224s, A1L_Sem_Cores
EN4MaqPar.txt, 1, 0.442s, 0.384s, 0.466s, 1.044s, 0.816s, 0.959s, A1L_Com_Cores
EN4MaqPar.txt, 2, 2.596s, 1.212s, 0.683s, 1.907s, 1.375s, 2.596s, A1P
im.txt, 1, 0.405s, 0.332s, 0.453s, 0.708s, 0.62s, 0.737s, A1L_Com_Cores
im.txt, 2, 5.432s, 1.617s, 0.563s, 1.911s, 1.103s, 2.662s, A1P
kraho.txt, 1, 2.919s, 2.09s, 2.611s, 4.435s, 4.648s, 4.897s, A1L_Com_Cores
kraho.txt, 2, 236.309s, 38.161s, 8.509s, 35.379s, 12.809s, 29.603s, A2P
marcapata.txt, 1, 4.371s, 4.472s, 4.715s, 12.291s, 12.536s, 12.659s, A2L
marcapata.txt, 2, 50.724s, 48.406s, 15.076s, 74.91s, 36.943s, 171.044s, A1P
mbya.txt, 1, 1.448s, 1.417s, 1.835s, 4.091s, 4.048s, 3.839s, A1L_Com_Cores
mbya.txt, 2, 8.981s, 7.06s, 2.792s, 12.701s, 6.817s, 21.364s, A2L
xv.txt, 1, 0.108s, 0.091s, 0.117s, 0.219s, 0.182s, 0.197s, A1L_Com_Cores
xv.txt, 2, 3.713s, 2.19s, 0.47s, 2.254s, 0.858s, 3.087s, A1P
zo.txt, 1, 0.544s, 0.424s, 0.554s, 1.402s, 1.15s, 1.196s, A1L_Com_Cores
zo.txt, 2, 5.294s, 1.645s, 0.767s, 2.64s, 1.926s, 3.973s, A1P



ap.txt, 1, 0.787s, 0.696s, 0.753s, 2.701s, 2.729s, 2.756s, A1L_Com_Cores
ap.txt, 2, 4.184s, 2.586s, 1.227s, 5.304s, 3.622s, 7.81s, A1P
Arara4MaqPar.txt, 1, 0.326s, 0.211s, 0.261s, 0.266s, 0.351s, 0.334s, A1L_Com_Cores
Arara4MaqPar.txt, 2, 23.51s, 6.736s, 1.653s, 6.347s, 1.81s, 5.453s, A1P
