57
1001	1015
1001	1028
1001	1053
1001	1153
1004	1083
1004	1153
1004	1158
1005	1158
1008	1017
1008	1127
1018	1021
1018	1145
1018	1195
1020	1158
1021	1056
1032	1097
1033	1056
1033	1158
1035	1158
1043	1045
1043	1066
1052	1080
1054	1056
1056	1061
1056	1068
1064	1121
1065	1106
1072	1159
1073	1158
1073	1121
1074	1153
1083	1217
1090	1157
1090	1158
1097	1099
1097	1199
1119	1121
1121	1553
1133	1367
1148	1601
1150	2030
1153	1203
1157	1208
1157	1215
1158	1167
1172	1221
1172	1239
1185	1199
1189	1196
1191	1212
1199	1358
1227	1242
1227	1284
1227	1303
1227	1341
1281	1331
1329	1358

