Anel, Ego0, SxEgo0, Alter0, SxAlter0, Ego1, SxEgo1, Alter1, SxAlter1, Percurso, BarryPercurso, Parente, Casal0, Casal1, Geração0, Lateral0, Geração1, Lateral1, Cnx0, Cnx1
1342, 2466, m, 2463, f, 2752, m, 2446, f, 2466 2208 2195 2202 2475 2474 2478 2752 2446 2433 2436 2220 2463 , m2466 m2208 f2195 m2202 (m2475) m2474 m2478 m2752 f2446 f2433 (m2436) f2220 f2463 , FMFFSSSWMFDD, 2463 2466, 2446 2752, G1, 3, G0, 2, 8, 4
1343, 2466, m, 2463, f, 2752, m, 2446, f, 2466 2208 2195 2202 2476 2474 2478 2752 2446 2433 2436 2220 2463 , m2466 m2208 f2195 m2202 (f2476) m2474 m2478 m2752 f2446 f2433 (m2436) f2220 f2463 , FMFMSSSWMFDD, 2463 2466, 2446 2752, G1, 3, G0, 2, 8, 4
1344, 2466, m, 2463, f, 2752, m, 2446, f, 2466 2208 2195 2202 2475 2474 2478 2752 2446 2433 2437 2220 2463 , m2466 m2208 f2195 m2202 (m2475) m2474 m2478 m2752 f2446 f2433 (f2437) f2220 f2463 , FMFFSSSWMMDD, 2463 2466, 2446 2752, G1, 3, G0, 2, 8, 4
1345, 2466, m, 2463, f, 2752, m, 2446, f, 2466 2208 2195 2202 2476 2474 2478 2752 2446 2433 2437 2220 2463 , m2466 m2208 f2195 m2202 (f2476) m2474 m2478 m2752 f2446 f2433 (f2437) f2220 f2463 , FMFMSSSWMMDD, 2463 2466, 2446 2752, G1, 3, G0, 2, 8, 4
1346, 2489, m, 2490, f, 2752, m, 2446, f, 2489 2178 2195 2202 2475 2474 2478 2752 2446 2433 2437 2835 2861 2557 2490 , m2489 f2178 f2195 m2202 (m2475) m2474 m2478 m2752 f2446 f2433 f2437 (m2835) f2861 f2557 f2490 , MMFFSSSWMMFDDD, 2489 2490, 2446 2752, G1, 3, G0, 3, 8, 6
1347, 2489, m, 2490, f, 2752, m, 2446, f, 2489 2178 2195 2202 2476 2474 2478 2752 2446 2433 2437 2835 2861 2557 2490 , m2489 f2178 f2195 m2202 (f2476) m2474 m2478 m2752 f2446 f2433 f2437 (m2835) f2861 f2557 f2490 , MMFMSSSWMMFDDD, 2489 2490, 2446 2752, G1, 3, G0, 3, 8, 6
1348, 2489, m, 2490, f, 2752, m, 2446, f, 2489 2178 2195 2202 2475 2474 2478 2752 2446 2433 2437 2836 2861 2557 2490 , m2489 f2178 f2195 m2202 (m2475) m2474 m2478 m2752 f2446 f2433 f2437 (f2836) f2861 f2557 f2490 , MMFFSSSWMMMDDD, 2489 2490, 2446 2752, G1, 3, G0, 3, 8, 6
1349, 2489, m, 2490, f, 2752, m, 2446, f, 2489 2178 2195 2202 2476 2474 2478 2752 2446 2433 2437 2836 2861 2557 2490 , m2489 f2178 f2195 m2202 (f2476) m2474 m2478 m2752 f2446 f2433 f2437 (f2836) f2861 f2557 f2490 , MMFMSSSWMMMDDD, 2489 2490, 2446 2752, G1, 3, G0, 3, 8, 6
1350, 2752, m, 2446, f, 2709, m, 2754, f, 2752 2478 2725 2726 2264 2754 2709 2711 2436 2433 2446 , m2752 m2478 f2725 (f2726) m2264 f2754 m2709 (m2711) m2436 f2433 f2446 , FMMSDHFSDD, 2446 2752, 2709 2754, G1, 2, G-2, 1, 6, 4
1351, 2752, m, 2446, f, 2709, m, 2754, f, 2752 2478 2725 2726 2264 2754 2709 2712 2436 2433 2446 , m2752 m2478 f2725 (f2726) m2264 f2754 m2709 (f2712) m2436 f2433 f2446 , FMMSDHMSDD, 2446 2752, 2709 2754, G1, 2, G-2, 1, 6, 4
1352, 2762, m, 2757, f, 2752, m, 2446, f, 2762 2441 2432 2446 2752 2478 2725 2726 2264 2608 2267 2757 , m2762 f2441 (m2432) f2446 m2752 m2478 f2725 (f2726) m2264 f2608 m2267 f2757 , MFDHFMMSDSD, 2757 2762, 2446 2752, G1, 1, G-1, 3, 4, 7
1353, 2762, m, 2757, f, 2752, m, 2446, f, 2762 2441 2433 2446 2752 2478 2725 2726 2264 2608 2267 2757 , m2762 f2441 (f2433) f2446 m2752 m2478 f2725 (f2726) m2264 f2608 m2267 f2757 , MMDHFMMSDSD, 2757 2762, 2446 2752, G1, 1, G-1, 3, 4, 7
1354, 2758, m, 3069, f, 2752, m, 2446, f, 2758 2267 2608 2264 2726 2725 2478 2752 2446 2432 2441 3069 , m2758 m2267 f2608 m2264 (f2726) f2725 m2478 m2752 f2446 (m2432) f2441 f3069 , FMFMDSSWFDD, 2758 3069, 2446 2752, G1, 3, G-1, 1, 8, 3
1355, 2758, m, 3069, f, 2752, m, 2446, f, 2758 2267 2608 2264 2726 2725 2478 2752 2446 2433 2441 3069 , m2758 m2267 f2608 m2264 (f2726) f2725 m2478 m2752 f2446 (f2433) f2441 f3069 , FMFMDSSWMDD, 2758 3069, 2446 2752, G1, 3, G-1, 1, 8, 3
1356, 2458, m, 2460, f, 2492, m, 2491, f, 2458 2438 2436 2210 2491 2492 2478 2725 2726 2264 2608 2267 2460 , m2458 m2438 (m2436) m2210 f2491 m2492 m2478 f2725 (f2726) m2264 f2608 m2267 f2460 , FFSDHFMMSDSD, 2458 2460, 2491 2492, G0, 2, G-1, 3, 5, 7
1357, 2458, m, 2460, f, 2492, m, 2491, f, 2458 2438 2437 2210 2491 2492 2478 2725 2726 2264 2608 2267 2460 , m2458 m2438 (f2437) m2210 f2491 m2492 m2478 f2725 (f2726) m2264 f2608 m2267 f2460 , FMSDHFMMSDSD, 2458 2460, 2491 2492, G0, 2, G-1, 3, 5, 7
1358, 2458, m, 2460, f, 2532, m, 2535, f, 2458 2440 2796 2798 2530 2532 2535 2172 2726 2264 2608 2267 2460 , m2458 f2440 f2796 (f2798) f2530 m2532 f2535 m2172 (f2726) m2264 f2608 m2267 f2460 , MMMDSWFMSDSD, 2458 2460, 2532 2535, G1, 2, G-2, 2, 6, 6
1359, 2458, m, 2460, f, 2676, m, 2677, f, 2458 2440 2796 2798 2530 2677 2676 2172 2726 2264 2608 2267 2460 , m2458 f2440 f2796 (f2798) f2530 f2677 m2676 m2172 (f2726) m2264 f2608 m2267 f2460 , MMMDDHFMSDSD, 2458 2460, 2676 2677, G1, 2, G-2, 2, 6, 6
1360, 2458, m, 2460, f, 2709, m, 2754, f, 2458 2438 2436 2711 2709 2754 2264 2608 2267 2460 , m2458 m2438 m2436 (m2711) m2709 f2754 (m2264) f2608 m2267 f2460 , FFFSWFDSD, 2458 2460, 2709 2754, G2, 1, G-2, 1, 5, 4
1361, 2458, m, 2460, f, 2709, m, 2754, f, 2458 2438 2436 2711 2709 2754 2265 2608 2267 2460 , m2458 m2438 m2436 (m2711) m2709 f2754 (f2265) f2608 m2267 f2460 , FFFSWMDSD, 2458 2460, 2709 2754, G2, 1, G-2, 1, 5, 4
1362, 2458, m, 2460, f, 2709, m, 2754, f, 2458 2438 2436 2712 2709 2754 2264 2608 2267 2460 , m2458 m2438 m2436 (f2712) m2709 f2754 (m2264) f2608 m2267 f2460 , FFMSWFDSD, 2458 2460, 2709 2754, G2, 1, G-2, 1, 5, 4
1363, 2458, m, 2460, f, 2709, m, 2754, f, 2458 2438 2436 2712 2709 2754 2265 2608 2267 2460 , m2458 m2438 m2436 (f2712) m2709 f2754 (f2265) f2608 m2267 f2460 , FFMSWMDSD, 2458 2460, 2709 2754, G2, 1, G-2, 1, 5, 4
1364, 2762, m, 2757, f, 2458, m, 2460, f, 2762 2441 2433 2436 2438 2458 2460 2267 2757 , m2762 f2441 f2433 (m2436) m2438 m2458 f2460 (m2267) f2757 , MMFSSWFD, 2757 2762, 2458 2460, G1, 2, G0, 1, 6, 2
1365, 2762, m, 2757, f, 2458, m, 2460, f, 2762 2441 2433 2436 2438 2458 2460 2268 2757 , m2762 f2441 f2433 (m2436) m2438 m2458 f2460 (f2268) f2757 , MMFSSWMD, 2757 2762, 2458 2460, G1, 2, G0, 1, 6, 2
1366, 2762, m, 2757, f, 2458, m, 2460, f, 2762 2441 2433 2437 2438 2458 2460 2267 2757 , m2762 f2441 f2433 (f2437) m2438 m2458 f2460 (m2267) f2757 , MMMSSWFD, 2757 2762, 2458 2460, G1, 2, G0, 1, 6, 2
1367, 2762, m, 2757, f, 2458, m, 2460, f, 2762 2441 2433 2437 2438 2458 2460 2268 2757 , m2762 f2441 f2433 (f2437) m2438 m2458 f2460 (f2268) f2757 , MMMSSWMD, 2757 2762, 2458 2460, G1, 2, G0, 1, 6, 2
1368, 2758, m, 3069, f, 2458, m, 2460, f, 2758 2267 2460 2458 2438 2436 2433 2441 3069 , m2758 (m2267) f2460 m2458 m2438 (m2436) f2433 f2441 f3069 , FDHFFDDD, 2758 3069, 2458 2460, G0, 1, G-1, 2, 3, 5
1369, 2758, m, 3069, f, 2458, m, 2460, f, 2758 2268 2460 2458 2438 2436 2433 2441 3069 , m2758 (f2268) f2460 m2458 m2438 (m2436) f2433 f2441 f3069 , MDHFFDDD, 2758 3069, 2458 2460, G0, 1, G-1, 2, 3, 5
1370, 2758, m, 3069, f, 2458, m, 2460, f, 2758 2267 2460 2458 2438 2437 2433 2441 3069 , m2758 (m2267) f2460 m2458 m2438 (f2437) f2433 f2441 f3069 , FDHFMDDD, 2758 3069, 2458 2460, G0, 1, G-1, 2, 3, 5
1371, 2758, m, 3069, f, 2458, m, 2460, f, 2758 2268 2460 2458 2438 2437 2433 2441 3069 , m2758 (f2268) f2460 m2458 m2438 (f2437) f2433 f2441 f3069 , MDHFMDDD, 2758 3069, 2458 2460, G0, 1, G-1, 2, 3, 5
